iter	Passed	Remaining
0	1	137
1	2	126
2	3	122
3	4	113
4	5	112
5	7	111
6	8	110
7	9	108
8	10	107
9	11	107
10	13	105
11	14	104
12	15	104
13	16	102
14	17	101
15	19	100
16	20	99
17	21	97
18	22	96
19	23	95
20	24	94
21	26	92
22	27	91
23	28	90
24	29	88
25	30	87
26	31	86
27	33	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	78
33	39	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	61	54
53	62	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
